ID,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,ANNEE,PASSAGE GED,SORT FINAL
01223,1706/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0156 DU 13 MAI 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, HIGHT BUISNESS INTERNATIONAL","(CONTRAT, AVENANT)","2019, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01224,1707/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAWADOGO ALIDOU",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01225,1708/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MEBA TRANS",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01226,1709/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, LANDAOGO",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01227,1710/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0180 DU 24 MAI 2019 + AVENANT N°22/0236 DU 11 MAI 2022 + AVENANT N°23/0077 DU 03 FEVRIER 2023 + AVENANT N°23/0142 DU 06 MARS 2023:SONABHY ET TKF SERV (KINDA MAHAMOUDOU),"TRANSPORT, PRODUIT PETROLIER, SONABHY, TKF SERV, KINDA MAHAMOUDOU","(CONTRAT, AVENANT)","2019, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01228,1711/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0124 DU 01 AVRIL 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OAF IMPORT EXPORT",(CONTRAT),"2019, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01229,1712/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0362 DU 02 AOUT 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, STAR HYDRO SERVICES ET EQUIPEMENT","(CONTRAT, AVENANT)",2019,DOCESSEN,CONSERVATION DEFINITIVE
01230,1713/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0375 DU 20 AOUT 2019 + AVENANT N°19/0396 DU 30 SEPTEMBRE 2019 + AVENANT N°20/0241 DU 14 AOUT 2020 + AVENANT N°21/0034 DU 02 FEVRIER 2021 + AVENANT N°23/0495 DU 09 NOVEMBRE 2023,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BURKINA CEREAL","(CONTRAT, AVENANT)","2019, 2020, 2021, 2023, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01231,1714/CJ,JURIDICTION ET CONTENTIEUX ; TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0393 DU 20 SEPTEMBRE 2019 + AVENANT N°20/0051 DU 20 FEVRIER 2020 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAKO VOYAGES","(CONTRAT, AVENANT)","2019, 2020, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01232,/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01233,1715/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0320 DU 08 JUILLET 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, STIF","(CONTRAT, AVENANT)",2019,DOCESSEN,CONSERVATION DEFINITIVE
01234,1716/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0414  DU 23 OCTOBRE 2019 + AVENANT N°21/071 DU 19 MARS 2021 + AVENANT N°22/0106 DU 04 MARS 2022 + AVENANT N°23/0489 DU 09 NOVEMBRE 2023:SONABHY ET WEND LA NAABA,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WEND LA NAABA","(CONTRAT, AVENANT)","2019, 2021, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01235,1717/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0410  DU  11 OCTOBRE 2019 :SONABHY ET SLIM AND COMPANY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SLIM AND COMPANY",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01236,1718/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0415 DU 23 OCTOBRE 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE DE TRANSPORT ET DE NEGOCE","(CONTRAT, AVENANT)","2019, 2020",DOCESSEN,CONSERVATION DEFINITIVE
01237,1719/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRAVEL GROUP",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01238,1720/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, AKIRA DISTRIBUTION",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01239,1721/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0433 DU 05 NOVEMBRE 2019 + AVENANT N°21/0238 DU 18 AOUT 2021 + AVENANT N°22/0254,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GRACE DWB SERVICES","(CONTRAT, AVENANT)","2019, 2021, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01240,1722/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, IDEHAL BUSINESS FIRM",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01241,1723/CJ,JURIDICTION ET CONTENTIEUX : PASSAGE DE PRODUITS PETROLIERS ET PRESTATIONS DE SERVICES ; CONTRAT N°19/0427 DU 05 NOVEMBRE 2019 + ACCORD DE DEBIT DU 25,"PASSAGE, PRESTATION DE SERVICE, PRODUIT PETROLIER, SONABHY, QUANTUM OIL TERMINALS LIMITED, LEMLA PETROLEUM LIMITED",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01242,1724/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, LOGISTRA",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01243,1725/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0407 DU 03 OCTOBRE 2019 + AVENANT N°20/0410 DU 31 DECEMBRE + AVENANT N°21/0145 DU 25 JUIN 2021 + AVENANT N°21/0343 DU 11 NOVEMBRE,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOTRALI","(CONTRAT, AVENANT)","2019, 2020, 2021, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01244,1726/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0422  DU 29 OCTOBRE 2019 + AVENANT N°20/0181 DU 22 JUIN 2020 + AVENANT N°20/0337 DU 07 DECEMBRE 2020 + AVENANT N°23/0147 DU 07 MARS 2023:SONABHY ET ESARAF (SAWADOGO SALIFOU RACHID),"TRANSPORT, PRODUIT PETROLIER, SONABHY, ESARAF, SAWADOGO SALIFOU RACHID","(CONTRAT, AVENANT)","2019, 2020, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01245,1727/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, LUB OIL",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01246,1728/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0454 DU 26 NOVEMBRE 2019 + AVENANT N°20/0409 DU 31 DECEMBRE 2020 + AVENANT N°22/0210 DU 03 MAI 2022 + AVENANT N°24/0059 DU 01,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MAMU TRANSPORT","(CONTRAT, AVENANT)","2019, 2020, 2022, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01247,1729/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0455 DU 26 OCTOBRE 2019 + AVENANT N°20/0334 DU 01 DECEMBRE 2020 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, NACANABO OUSMANE","(CONTRAT, AVENANT)","2019, 2020, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01248,1730/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, PWTCO, PENGDE WENDE TRANSPORT ET COMMERCE",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01249,1731/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0459 DU 09 DECEMBRE 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ESTRAOF, TRAORE SOUMAILA","(CONTRAT, AVENANT)","2019, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01250,1732/CJ,JURIDICTION ET CONTENTIEUX : MANDAT DE COURTAGE ;,"COURTAGE, MANDAT DE COURTAGE, SONABHY, VINCENT ET ASSOCIES",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01251,1733/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0467 DU 17 DECEMBRE 2019 + AVENANT N°21/0084 DU 09 AVRIL 2021 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KONE ISSA","(CONTRAT, AVENANT)","2019, 2021, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01252,1734/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°19/0468 DU 17 DECEMBRE 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ARMELLE TRANSPORT","(CONTRAT, AVENANT)","2019, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01253,1735/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO MOUMOUNI, EOMF",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01254,1736/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; AVENANT N°19/0577 DU 30 DECEMBRE 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ESPOIR TRANSPORT INTERNATIONAL, ESTI","(CONTRAT, AVENANT)","2019, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01255,1737/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KANAZOE ZAKARIA",(CONTRAT),2019,DOCESSEN,CONSERVATION DEFINITIVE
01256,1738/CJ,JURIDICTION ET CONTENTIEUX : PASSAGE ET STOCKAGE DE,"PASSAGE, STOCKAGE, VENTE, PRODUIT PETROLIER, SONABHY, SODIGAZ TOGO","(CONTRAT, AVENANT)","2018, 2020, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01257,1739/CJ,JURIDICTION ET CONTENTIEUX : PROTOCOLE D'ACCORD,"ACCORD TRANSACTIONNEL, SONABHY, RECLASSEMENT, VALEA R.ZACHARIE, YAMEOGO J. MODESTE, KERE N.L. HAMADO, SARA ABOUBACAR, OUEDRAOGO DRAMANE, DABONE BINTOU, BONKOUNGOU R.E. WENDPENGA",(CONTRAT),,DOCESSEN,
01258,1740/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, GKD",(CONTRAT),,DOCESSEN,CONSERVATION DEFINITIVE
01259,1741/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY,  ZYF TRANSPORT","(CONTRAT, AVENANT)",,DOCESSEN,CONSERVATION DEFINITIVE
01260,1742/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, AF.E.DIS, YAMEOGO ISSIF","(CONTRAT, AVENANT)","2020, 2021, 2023, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01261,1743/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE DOUSSOU","(CONTRAT, AVENANT)","2020, 2022, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01262,1744/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, ETOILE WASSOULOU HOLDING",(CONTRAT),,DOCESSEN,CONSERVATION DEFINITIVE
01263,1745/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KC. PETERS AUTO",(CONTRAT),,DOCESSEN,CONSERVATION DEFINITIVE
01264,1746/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOMSIGYAN","(CONTRAT, AVENANT)","2020, 2021, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01265,1747/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, GROUPEMENT, MOCOH, PARAGON","(CONTRAT, AVENANT)","2020, 2021, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01266,1748/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, INTERIOR AND EXTERIOR MOVING SOCIETY, OUEDRAOGO MOUSSA","(AVENANT, CONTRAT)","2020, 2021, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01267,1749/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SAHEL TRADING ENERGY",(AVENANT),"2020, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01268,1750/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MAEL TRANSPORT ET ENERGY, TAPSOBA R FRANCOIS NICOLAS, MEGA CONSTRUCTION ET DEVELOPPEMENT","(CONTRAT, AVENANT)","2020, 2021, 2023, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01269,1751/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE KISWENDSIDA, ZOUNGRANA PAMOUSSA, NEEMA TRANSPORT","(CONTRAT, AVENANT)","2020, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01270,1752/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, MINHAM INTERNATIONAL","(CONTRAT, AVENANT)","2020, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01271,1753/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, PUMA OIL",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01272,1754/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ECGOF, OUEDRAOGO ABDOUL FAICAL",(CONTRAT),2018,DOCESSEN,CONSERVATION DEFINITIVE
01273,1755/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, ENERMIN INTERNATIONAL",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01274,1756/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0062 DU 28 FEVRIER 2020 ; SONABHY ET COMPAGNIE DE TRANSPORT AN NAFI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, COMPAGNIE DE TRANSPORT AN NAFI","(TRANSPORT, PRODUIT PETROLIER, SONABHY, COMPAGNIE DE TRANSPORT AN NAFI)",2020,DOCESSEN,CONSERVATION DEFINITIVE
01275,1757/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, FASO OFFICIIS",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01276,1758/CJ,JURIDICTION ET CONTENTIEUX :  TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0266 DU 30 JUIN 2020 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, DRABO LAMOUSSA","(CONTRAT, AVENANT)","2020, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01277,1759/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, WEND LA TOANGDA",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01278,1760/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, EBF-WD, BONKOUNGOU INOUSSA",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01279,1761/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, KOUNANDY TRANSPORT",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01280,1762/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0264 DU 01 SEPTEMBRE 2020 + AVENANT N°21/0020 DU 25 JANVIER 2021 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRAORE SIAKA SINA","(CONTRAT, AVENANT)","2020, 2021, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01281,1763/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0263 DU 01 SEPTEMBRE 2020 + AVENANT N°22/0138 DU 24 MARS2022 + AVENANT N°22/0331 DU 16 JUIN 2022 + AVENANT N°23/0097 DU 15 FEVRIER,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ZOPOFI, ZONAB POSGO ET FILS, MANO CHRISTINE","(CONTRAT, AVENANT)","2020, 2022, 2023, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01282,1764/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, BEZALEL",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01283,1765/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, SONABHY, OUEDRAOGO SEKOU, OSFTP",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01284,1766/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PRESTATION DE SERVICES INTERCONNEXION DE SITES DU 03 SEPTEMBRE 2020:SONABHY ET ORANGE BURKINA,"PRESTATION DE SERVICE, INTERCONNEXION, SITE, SONABHY, ORANGE BURKINA FASO",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01285,1767/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0405 DU 28 DECEMBRE 2020 + AVENANT N°21/0223 DU 30 JUILLET 2021 + 24/0137 DU 15,"TRANSPORT, PRODUIT PETROLIER, SONABHY, EBIMEX TR","(CONTRAT, AVENANT)","2020, 2021, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01286,1768/CJ,JURIDICTION CONTENTIEUX;TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N20/0339 DU 14- DECEMBRE 2020 +,"TRANSPORT, PRODUIT PETROLIER, GENERAL TRANSPORT ET COMMERCE INTERNATIONAL, GANEMTORE ABDOULAYE, GTCI",,"2020, 2021",DOCESSEN,CONSERVATION DEFINITIVE
01287,1769/CJ,JURIDICTION ET CONTENTIEUX: TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER , SONABHY, NALA TRANSPORT VIA KOSPORE AUTOMOBILE, NTVKA",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01288,1770/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUIT,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY , MAJESTY TRANSPORT",(CONTRAT),2021,DOCESSEN,CONSERVATION DEFINITIVE
01289,1771/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE ,  PRODUIT PETROLIER ,  SUPREME ENERGIE",(CONTRAT),2021,DOCESSEN,CONSERVATION DEFINITIVE
01290,1772/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0255 DU 24 AOUT 2020 +,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY , SOUGR-NOOMA ,  NIKIEMA SALIFOU",(CONTRAT),2021,DOCESSEN,CONSERVATION DEFINITIVE
01291,1773/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUIT,"VENTE ,  PRODUIT PETROLIER ,  SONABHY ,  PETRO SAHEL",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01292,1774/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUIT PETROLIER ; CONTRAT N° 20/0314 DU 19 NOVEMBRE 2020 +,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY ,  CHANCE AND SISTER BUSINESS","(CONTRAT, AVENANT)","2020, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01293,1775/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0319 DU 25 NOVEMBRE 2020 +,"TRANSPORT , PRODUIT PETROLIER , SONABHY , GODMAN CAPITAL , GMC","(CONTRAT, AVENANT)","2020, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01294,1776/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 200275 DU 28 SEPTEMBRE 2020 + AVENANT N°22/0023 DU 19 JANVIER 2022 + AVENANT,"TRANSPORT , PRODUIT PETROLIER , SONABHY , NIAMPA YASSIA","(CONTRAT, AVENANT)","2020, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01295,1777/CJ,JURIDICTION CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTACT N°20/0315 DU 19 NOVEMBRE 2020 + CONTRAT N°22/0033 DU 27 JANVIER 2022 + AVENANT,"TRANSPORT , PRODUIT PETROLIER , SONABHY , BARRO DRISSA","(CONTRAT, AVENANT)","2020, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01296,1778/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY ,  SITRAF ,  KABORE ADAMA",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01297,1779/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE ,  PRODUIT PETROLIER ,  SONABHY ,  GREEN ENERGY",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01298,1780/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 20/0336 DU 02 DECEMBRE 2020 + AVENANT N°21/0075 DU 25 MARS 2021 + CONTRAT DE,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY ,  FOX , SAWADOGO SID MOHAMED","(CONTRAT, AVENANT)","2020, 2021, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01299,1781/CJ,JURIDICTION ET CONTENTEUX : TRANSPORT DE PRODUITS,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY ,  ESIFA ,  SIMPORE HAMADO",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01300,1782/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 20/0273 DU 28 SEPTEMBRE 2020 :SONABHY ET ATLANTOX,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY , ATLANTOX",(CONTRAT ),2020,DOCESSEN,CONSERVATION DEFINITIVE
01301,1783/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS,"VENTE ,  PRODUIT PETROLIER ,  SONABHY ,  FAMA ERNERGIE",(CONTRAT ),2020,DOCESSEN,CONSERVATION DEFINITIVE
01302,1784/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 21/0019 DU 25 JANVIER 2021 +,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY ,  SANFO IDRISSA",(CONTRAT ),"2021, 2022",DOCESSEN,CONSERVATION DEFINITIVE
01303,1785/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 21/0013 DU 21 JANVIER 2021 +,"TRANSPORT ,  PRODUIT PETOLIER ,  SONABHY , TIENDREBEOGO NOSYAMBA SALFO","(CONTRAT, AVENANT)","2021, 2024",DOCESSEN,CONSERVATION DEFINITIVE
01304,1786/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY , TRANSPORT RAWELGUIA ET FRERE",(CONTRAT),2020,DOCESSEN,CONSERVATION DEFINITIVE
01305,1787/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N° 21/0047 DU 18 FEVRIER  2021 + AVENANT N°22/0278 DU 31 MAI 2022 + AVENANT N°22/0547 DU 24 OCTOBRE 2022 + AVENANT N°23/0313 DU 16 JUIN 2023:SONABHY ET SAWADOGO YACOUBA,"TRANSPORT , PRODUIT PETROLIER , SONABHY , SAWADOGO YACOUBA","(CONTRAT, AVENANT)","2021, 2022, 2023",DOCESSEN,CONSERVATION DEFINITIVE
01306,1788/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°21/0037 DU 10 FEVRIER 2021 +,"TRANSPORT ,  PRODUIT PETROLIER ,  SONABHY , NIKIEMA SAMBO","(CONTRAT, AVENANT)","2021, 2022",DOCESSEN,CONSERVATION DEFINITIVE
