ref,titre,contenu,analyse_diplomatique,annee
1210/TPP,TRANSPORT DE PRODUITS PETROLIER: BONS D'ENLEVEMENT JAUNE TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1211/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1212/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1213/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : OCTOBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1214/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MARS 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1215/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AVRIL 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1216/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1217/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1218/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1219/TPP,TRANSPORT DE PRODUITS PETROLIER: BONS D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1220/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1221/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE PWSL,"TRANSPORT, PRODUIT PETROLIER, PWSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1222/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE BOST,"TRANSPORT, PRODUIT PETROLIER, BOST","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1223/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE BOST,"TRANSPORT, PRODUIT PETROLIER, BOST","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1224/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT JAUNE SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1225/TPP,TRANSPORT DE PRODUITS PETROLIER: BON D'ENLEVEMENT JAUNE SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1226/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1227/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1228/TPP,TRANSPORT DE PRODUITS EPTROLIERS: BONS D'ENLEVEMNET JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE ) DATE EXTREME  : JANVIER 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1229/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : FEVRIER 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1230/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MARS 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1231/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AVRIL 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1232/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1233/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE ) DATE EXTREME  : JUIN2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1234/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1235/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1236/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT JAUNE STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1237/TPP,TRANSPORT DE PRODUITS PETROLIER: BONS D'ENLEVEMENT JAUNES STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT JAUNE) DATE EXTREME  : OCTOBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1238/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AVRIL 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1239/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1240/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1241/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS GESTOCI,TRANSPORTER LES PRODUITS PETROLIERS,"(TPP) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1242/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1243/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU GESTOCI,"TRANSPORT, PRODUIT PETROLIER, GESTOCI","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1244/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : MARS 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1245/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : AVRIL 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1246/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1247/TPP,TRANSPORT DE PODUITS PETROLIER: BONS D'ENLEVEMENT BLEUS SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1248/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1249/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1250/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SONACOP,"TRANSPORT, PRODUIT PETROLIER, SONACOP","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1251/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1252/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1253/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1254/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1255/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TTF,"TRANSPORT, PRODUIT PETROLIER, TTF","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1256/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS OSPP,"TRANSPORT, PRODUIT PETROLIER, OSPP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1257/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS OSPP,"TRANSPORT, PRODUIT PETROLIER, OSPP","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1258/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU OSPP,"TRANSPORT, PRODUIT PETROLIER, OSPP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1259/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS OSPP,"TRANSPORT, PRODUIT PETROLIER, OSPP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1260/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS OSPP,"TRANSPORT, PRODUIT PETROLIER, OSPP","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1261/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS PWSL,"TRANSPORT, PRODUIT PETROLIER, PWSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1262/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS BWSL,"TRANSPORT, PRODUIT PETROLIER, PWSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1263/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS BOST,"TRANSPORT, PRODUIT PETROLIER, BOST","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1264/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS BOST,"TRANSPORT, PRODUIT PETROLIER, BOST","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : 10ANS",
1265/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TFC,"TRANSPORT, PRODUIT PETROLIER, TFC","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1266/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TFC,"TRANSPORT, PRODUIT PETROLIER, TFC","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON",
1267/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS TFC,"TRANSPORT, PRODUIT PETROLIER, TFC","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1268/TPP,TRANSPORT DE PRODUITS PETROLIERS: BON D'ENLEVEMENT BLEU TFC,"TRANSPORT, PRODUIT PETROLIER, TFC","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1269/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1270/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1271/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1272/TPP,TRANSPORT DE PRODUITS PETROLIES: BONS D'ENLEVEMENT BLEUS SORAZ,"TRANSPORT, PRODUIT PETROLIER, SORAZ","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1273/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEU SODIGAZ,"TRANSPORT, PRODUIT PETROLIER, SODIGAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1274/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SODIGAZ,"TRANSPORT, PRODUIT PETROLIER, SODIGAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1275/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SODIGAZ,"TRANSPORT, PRODUIT PETROLIER, SODIGAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1276/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS SODIGAZ,"TRANSPORT, PRODUIT PETROLIER, SODIGAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1277/TPP,TRANSPORT DE PRODUITS EPTROLIERS: BONS D'ENLEVEMENT BLEUS SODIGAZ,"TRANSPORT, PRODUIT PETROLIER, SODIGAZ","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1278/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS PEB,"TRANSPORT, PRODUIT PETROLIER, PEB","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1279/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS PEB,"TRANSPORT, PRODUIT PETROLIER, PEB","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1280/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS PEB,"TRANSPORT, PRODUIT PETROLIER, PEB","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1281/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS PEB,"TRANSPORT, PRODUIT PETROLIER, PEB","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1282/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMNT BLEUS PEB,"TRANSPORT, PRODUIT PETROLIER, PEB","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1283/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : MARS 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1284/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : AVRIL 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1285/TPP,TRANSPORT DE PRODUITS EPTROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1286/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1287/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1288/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1289/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS ORYX,"TRANSPORT, PRODUIT PETROLIER, ORYX","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1290/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : MAI 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1291/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUIN 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1292/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : JUILLET 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1293/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT BLEU) DATE EXTREME  : AOUT 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
1294/TPP,TRANSPORT DE PRODUITS PETROLIERS: BONS D'ENLEVEMENT BLEUS STSL,"TRANSPORT, PRODUIT PETROLIER, STSL","(BON D'ENLEVEMENT BLEU ) DATE EXTREME  : SEPTEMBRE 2018, PASSAGE GED   : NON SORT FINAL : DESTRUCTION",
0183/APP,ACHAT DES PRODUITS PETROLIERS : DECLARATION PREALABLE D IMPORTATION,"ACHAT, PRODUIT PETROLIER, IMPORTATION, DECLARATION PREALABLE D IMPORTATION","(FICHE DE DECLARATION) DATE EXTREME  : 2018,",2018 PASSAGE GED   : OUI SORT FINAL : DESTRUCTION
0184/APP,ACHAT DES PRODUITS PETROLIERS : DECLARATION PREALABLE D IMPORTATION,"ACHAT, PRODUIT PETROLIER, IMPORTATION, DECLARATION PREALABLE D IMPORTATION","(FICHE DE DECLARATION) DATE EXTREME  : 2017, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0185/APP,ACHAT DES PRODUITS PETROLIERS: DECLARATION PREALABLE D IMPORTATION,"ACHAT, PRODUIT PETROLIER, IMPORTATION, DECLARATION PREALABLE D IMPORTATION","(FICHE DE DECLARATION) DATE EXTREME  : 2016, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0186/APP,ACHAT DES PRODUITS PETROLIERS : DECLARATION PREALABLE D IMPORTATION,"ACHAT, PRODUIT PETROLIER, IMPORTATION, DECLARATION PREALABLE D IMPORTATION","(FICHE DE DECLARATION) DATE EXTREME  : 2014, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0187/APP,ACHAT DES PRODUITS PETROLIERS : DECLARATION PREALABLE D IMPORTATION,"ACHAT, PRODUIT PETROLIER, IMPORTATION, DECLARATION PREALABLE D IMPORTATION","(FICHE DE DECLARATION) DATE EXTREME  : 2015, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0188/APP,ACHAT DES PRODUITS PETROLIERS : MISE A DISPOSITION DES PRODUITS PETROLIERS PETROFA 2015,"ACHAT, PRODUIT PETROLIER, PETROFA, RECEPTION, LIVRAISON","(CORRESPONDANCE) DATE EXTREME  : 2015, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0189/APP,ACHAT DES PRODUITS PETROLIERS: MISE A DISPOSITION DES PRODUITS PETROLIERS: PETROFA 2017,"ACHAT, PRODUIT PETROLIER, PETROFA, RECEPTION, LIVRAISON","(CORRESPONDANCE) DATE EXTREME  : 2017, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
0190/APP,ACHAT DES PRODUITS PETROLIERS : MISE A DISPOSITION DES PRODUITS PETROLIERS:ECO-OIL 2015,"ACHAT,  PRODUIT PETROLIER, ECO-OIL, RECEPTION, LIVRAISON","(CORRESPONDANCE) DATE EXTREME  : 2015, PASSAGE GED   : OUI SORT FINAL : DESTRUCTION",
