ref,titre,contenu,analyse_diplomatique,date
0519/SV,ETATS DE REGLEMENT CLIENTS : EBOMAF 2009,"REGLEMENT, CLIENT, EBOMAF, SONABEL",(ETAT),2009 PASSAGE GED : NON
0520/SV,ETATS DE REGLEMENT CLIENTS : EMGA 2009,"REGLEMENT, CLIENT, EMGA, SONABEL",(ETAT),2009 PASSAGE GED : NON
0521/SV,MOUVEMENTS DES STOCKS : ETATS DES ENTREES DES PRODUITS BOBO EN AMBIANT 2009,"STOCK, PRODUIT DE BOBO, SONABEL, DROITURE",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0522/SV,MOUVEMENTS DES STOCKS : ETATS DES SORTIES DES PRODUITS DE BOBO EN AMBIANT 2009,"STOCK, SORTIE, PRODUIT DE BOBO, SONABEL",(ETAT),JANVIER-AVRIL 2009 PASSAGE GED : NON
0523/SV,MOUVEMENTS DES STOCKS : ETATS DES SORTIES DES PRODUITS BOBO EN AMBIANT,"STOCK, SORTIE, PRODUIT DE BOBO, SONABEL",(ETAT),"MAI,JUILLET 2009 PASSAGE GED : NON"
0524/SV,MOUVEMENTS DES STOCKS : SITUATION DES STOCKS DE BOBO 2009,"STOCK, SITUATION, PRODUIT DE BOBO, SONABEL",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0525/SV,MOUVEMENTS DES STOCKS : ETATS MENSUELS DES SORTIES PRODUITS DE BINGO EN AMBIANT 2009,"STOCK, SORTIE, PRODUIT DE BINGO, SONABEL",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0526/SV,MOUVEMENTS DES STOCK : RECAPITULATIF DES SORTIES DE BINGO 2009,"STOCK, SORTIE, PRODUIT DE BINGO, SONABEL",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0527/SV,MOUVEMENTS DES STOCKS : RELEVE DECADAIRE DES LIVRAISONS DE BINGO EN DROITURE 2009,"STOCK, SORTIE, RELEVE, DECADAIRE, DEPOT DE BINGO, SONABEL",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0528/SV,MOUVEMENTS DES STOCKS : ETATS DES  ENTREES  DES PRODUITS DE BINGO EN AMBIANT 2009,"STOCK, ENTREE, DEPOT DE BINGO, SONABEL",(ETAT),JANVIER-DECEMBRE 2009 PASSAGE GED : NON
0529/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),JANVIER 2009 PASSAGE GED : NON
0530/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),FEVRIER 2009 PASSAGE GED : NON
0531/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),MARS 2009 PASSAGE GED : NON
0532/SV,FACTURS DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),AVRIL 2009 PASSAGE GED : NON
0533/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),MAI 2009 PASSAGE GED : NON
0534/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),JUIN I 2009 PASSAGE GED : NON
0535/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),JUIN II 2009 PASSAGE GED : NON
0536/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),JUILLET 2009 PASSAGE GED : NON
0537/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),AOUT I 2009 PASSAGE GED : NON
0538/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),AOUT II 2009 PASSAGE GED : NON
0539/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),SEPTEMBRE 2009 PASSAGE GED : NON
0540/SV,FACTURES DE VENTE 2009,"VENTYE, PRODUIT PETROLIER, SONABEL",(FACTURE),OCTOBRE I 2009 PASSAGE GED : NON
0541/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL, ORYX BENIN, STSL",(FACTURE),OCTOBRE II 2009 PASSAGE GED : NON
0542/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, SONABEL, STSL, ORYX BENIN",(FACTURE),NOVEMBRE 2009 PASSAGE GED : NON
0543/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, STSL, ORYX BENIN, SONABEL, SONACOP BENIN",(FACTURE),DECEMBRE I 2009 PASSAGE GED : NON
0544/SV,FACTURES DE VENTE 2009,"VENTE, PRODUIT PETROLIER, STSL, ORYX BENIN, SONABEL, SONACOP BENIN",(FACTURE),DECEMBRE II 2009 PASSAGE GED : NON
0509/ST,BON D'ENLEVEMENT JANVIER 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),JANVIER 2009 435 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0510/ST,BON D'ENLEVEMENT FEVRIER 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),FEVRIER 2009 527 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0511/ST,BON D'ENLEVEMENT MARS 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),MARS 2009 710 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0512/ST,BON D'ENLEVEMENT AVRIL 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),AVRIL 2009 576 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0513/ST,BON D'ENLEVEMENT MAI 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),MAI 2009 15 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0514/ST,BON D'ENLEVEMENT JUIN 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),JUIN 2009 28 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0515/ST,BON D'ENLEVEMENT JUILLET 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),JUILLET 2009 36 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0516/ST,BON D'ENLEVEMENT AOUT 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),AOUT 2009 05 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0517/ST,BON D'ENLEVEMENT SEPTEMBRE 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),SEPTEMBRE 2009 06 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0518/ST,BON D'ENLEVEMENT OCTOBRE 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),OCTOBRE 2009 205 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0519/ST,BON D'ENLEVEMENT NOVEMBRE 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),NOVEMBRE 2009 390 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0520/ST,BON D'ENLEVEMENT DECEMBRE 2009,"ENLEVEMENT, TRANSPORT, PRODUIT PETROLIER",(BON D'ENLEVEMENT),DECEMBRE 2009 413 pièces PASSAGE GED : OUI BASE GED : DOCUCOM
0545/SV,STRUCTURES DES PRIX DE PRODUITS PETROLIERS : JANVIER A DECEMBRE 2004,"STRUCTURE DE PRIX, MARKETING, VENTE, PRODUIT PETROLIER, SONABHY",(ARRETE),JANVIER-DECEMBRE 2004 2 PIECES
0546/SV,STRUCTURES DES PRIX DE PRODUITS PETROLIERS : JANVIER-DECEMBRE 2005,"STRUCTURE DE PRIX, PRODUIT PETROLIER, VENTE, MARKETING, SONABHY",(ARRETE),JANVIER-DECEMBRE 2005 2 PIECES
0547/SV,STRUCTURES DES PRIX DE PRODUITS PETROLIERS : 2009,"STRUCTURE DE PRIX, VENTE, PRODUIT PETROLIER, SONABHY",(ARRETE),2009 6 PIECES
0521/ST,ETATS DES EMISSIONS DES ENLEVEMENTS DE PRODUIT PETROLIER 2000-2007,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY",(ETAT),2000-2007 37 documents PASSAGE GED : OUI BASE GED : DOCUCOM
0522/ST,ETATS DES EMISSIONS DES ENLEVEMENTS DE PRODUIT PETROLIER 2008-2009,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY",(ETAT),2008-2009 81 documents PASSAGE GED : OUI BASE GED : DOCUCOM
0548/SV,ETATS DES RECOUVREMENTS 2003-2005,"RECOUVREMENT, VENTE, PRODUIT PETROLIER, SONABHY",(ETAT DE RECOUVREMENT),2003-2005 35 documents PASSAGE GED : NON
0549/SV,"FACTURES DE VENTE DE PRODUIT PETROLIER 2006, 2008, 2009","FACTURATION, VENTE, PRODUIT PETROLIER, SONABHY","(FACTURE, NOTE DE CREDIT)","2006, 2008-2009 67 documents PASSAGE GED : NON"
0550/SV,ETATS DES VENTES DE PRODUIT PETROLIER 2007-2009,"VENTE, PRODUIT PETROLIER, SONABHY",(ETAT DE VENTE),2007-2009 221 documents PASSAGE GED : NON
0551/SV,STRUCTURES DES PRIX DE PRODUIT PETROLIER 2005,"STRUCTURE DE PRIX, VENTE, PRODUIT PETROLIER, SONABHY","(ARRETE, CORRESPONDANCE)",2005 82 documents PASSAGE GED : OUI BASE GED : DOCUCOM
0552/SV,ETATS DE REGLEMENT CLIENT 2009,"REGLEMENT, VENTE, PRODUIT PETROLIER, SONABHY",(ETAT DE REGLEMENT),2009 473 documents PASSAGE GED : NON
0553/SV,BORDEREAUX DE LIVRAISON DE PRODUIT PETROLIER OCTOBRE 2009,"LIVRAISON, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU DE LIVRAISON),OCTOBRE 2009 1022 documents PASSAGE GED : NON
0554/SV,BORDEREAUX DE LIVRAISON DE PRODUIT PETROLIER NOVEMBRE 2009,"LIVRAISON, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU DE LIVRAISON),NOVEMBRE 2009 993 documents PASSAGE GED : NON
0555/SV,BORDEREAUX DE LIVRAISON DE PRODUIT PETROLIER DECEMBRE 2009,"LIVRAISON, VENTE, PRODUIT PETROLIER, SONABHY",(BORDEREAU DE LIVRAISON),DECEMBRE 2009 717 documents PASSAGE GED : NON
0523/ST,"ETATS DES ENLEVEMENTS, CERTIFICATS DE STOCKS ORYX COTONOU 2005","ENLEVEMENT, STOCK, PRODUIT PETROLIER, ORYX COTONOU",(ETAT),2005 5 PIECES PASSAGE GED : NON
0524/ST,ETATS DES ENLEVEMENTS ORYX COTONOU 2006,"ENLEVEMENT, STOCK, PRODUIT PETROLIER, ORYX COTONOU",(ETAT),2006 4 PIECES PASSAGE GED : NON
0525/ST,"ETATS DES ENLEVEMENTS, SITUATION DES STOCKS, CERTIFICATS DE STOCKS ORYX COTONOU 2007","ENLEVEMENT, STOCK, PRODUIT PETROLIER, ORYX COTONOU","(ETAT, CERTIFICAT)",2007 26 PIECES PASSAGE GED : NON
0526/ST,"ETATS DES ENLEVEMENTS, CERTIFICATS DE STOCKS ORYX COTONOU 2008","ENLEVEMENT, STOCK, PRODUIT PETROLIER, ORYX COTONOU","(ETAT, CERTIFICAT)",2008 44 PIECES PASSAGE GED : NON
0527/ST,"ETATS DES ENLEVEMENTS, CERTIFICATS DE STOCKS ORYX COTONOU 2009","ENLEVEMENT, STOCK, PRODUIT PETROLIER, ORYX COTONOU","(ETAT, CERTIFICAT)",2009 33 PIECES PASSAGE GED : NON
0528/ST,ETATS DES ENLEVEMENTS STSL 2006,"ENLEVEMENT, STOCK, PRODUIT PETROLIER, STSL",(ETAT),2006 01 PIECE PASSAGE GED : NON
0529/ST,"ETATS DES ENLEVEMENTS, SITUATION DES STOCKS STSL 2007","ENLEVEMENT, STOCK, PRODUIT PETROLIER, STSL",(ETAT),2007 29 PIECES PASSAGE GED : NON
0530/ST,"ETATS DES ENLEVEMENTS, SITUATION DES STOCKS STSL 2008","ENLEVEMENT, STOCK, PRODUIT PETROLIER, STSL",(ETAT),2008 27 PIECES PASSAGE GED : NON
0531/ST,"ETATS DES ENLEVEMENTS, SITUATION DES STOCKS STSL 2009","ENLEVEMENT, STOCK, PRODUIT PETROLIER, STSL",(ETAT),2009 41 PIECES PASSAGE GED : NON
0532/ST,"ETATS DES ENLEVEMENTS, ETATS DES STOCKS, SITUATION DES STOCKS SONACOP 2009","ENLEVEMENT, STOCK, PRODUIT PETROLIER, SONACOP",(ETAT),2009 23 PIECES PASSAGE GED : NON
0533/ST,SITUATION & MOUVEMENTS DES STOCKS DE PRODUIT PETROLIER DEPOT DE BINGO 2008,"MOUVEMENT, STOCK, PRODUIT PETROLIER, DEPOT DE BINGO",(ETAT),2008 03 PIECES PASSAGE GED : NON
0534/ST,SITUATION & MOUVEMENTS DES STOCKS DE PRODUIT PETROLIER DEPOT DE BINGO 2009,"MOUVEMENT, STOCK, PRODUIT PETROLIER, DEPOT DE BINGO",(ETAT),JANVIER-DECEMBRE 2009 645 PIECES PASSAGE GED : NON
0535/ST,BORDEREAUX DE LIVRAISON DE PRODUIT PETROLIER DEPOT DE BINGO 2009,"LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO",(BORDEREAU DE LIVRAISON),2009 553 PIECES PASSAGE GED : NON
0536/ST,ETAT DE CHARGEMENT GESTOCI 2007,"CHARGEMENT, PRODUIT PETROLIER, GESTOCI",(ETAT DE CHARGEMENT),2007 07 PIECES PASSAGE GED : NON
0537/ST,ETAT DE CHARGEMENT GESTOCI 2008,"CHARGEMENT, PRODUIT PETROLIER, GESTOCI",(ETAT DE CHARGEMENT),2008 09 PIECES PASSAGE GED : NON
0538/ST,ETAT DE CHARGEMENT GESTOCI 2009,"CHARGEMENT, PRODUIT PETROLIER, GESTOCI",(ETAT DE CHARGEMENT),2009 34 PIECES PASSAGE GED : NON
0539/ST,ETAT DE CHARGEMENT LASH CONSULT INVESTMENT 2007,"CHARGEMENT, PRODUIT PETROLIER, LASH CONSULT INVESTMENT",(ETAT DE CHARGEMENT),2007 02 PIECES PASSAGE GED : NON
0540/ST,ETAT DE CHARGEMENT LASH CONSULT INVESTMENT 2008,"CHARGEMENT, PRODUIT PETROLIER, LASH CONSULT INVESTMENT",(ETAT DE CHARGEMENT),2008 06 PIECES PASSAGE GED : NON
0541/ST,ETAT DE CHARGEMENT POLYGONE COTONOU 2008,"CHARGEMENT, PRODUIT PETROLIER, POLYGONE COTONOU",(ETAT DE CHARGEMENT),2008 03 PIECES PASSAGE GED : NON
0542/ST,ETAT DE CHARGEMENT SONACOP 2009,"CHARGEMENT, PRODUIT PETROLIER, SONACOP",(ETAT DE CHARGEMENT),2009 40 PIECES PASSAGE GED : NON
0543/ST,ETAT DE CHARGEMENT STSL 2009,"CHARGEMENT, PRODUIT PETROLIER, STSL",(ETAT DE CHARGEMENT),2009 126 PIECES PASSAGE GED : NON
0544/ST,ETAT DE CHARGEMENT ORYX BENIN 2009,"CHARGEMENT, PRODUIT PETROLIER, ORYX BENIN",(ETAT DE CHARGEMENT),2009 38 PIECES PASSAGE GED : NON
0545/ST,ETAT DE SUIVI DES REEXPORTATIONS 2008,"REEXPORTATION, PRODUIT PETROLIER, SONABHY",(ETAT DE SUIVI),2008 06 PIECES PASSAGE GED : NON
0546/ST,SITUATION DES STOCKS TRIGON 2008,"STOCK, PRODUIT PETROLIER, TRIGON",(ETAT),2008 03 PIECES PASSAGE GED : NON
0547/ST,SITUATION DES STOCKS OCTOGONE BENIN 2008,"STOCK, PRODUIT PETROLIER, OCTOGONE BENIN",(ETAT),2008 01 PIECE PASSAGE GED : NON
0548/ST,SYNTHESE PERIODIQUE DES ENLEVEMENTS GESTOCI 2009,"ENLEVEMENT, PRODUIT PETROLIER, GESTOCI",(ETAT PERIODIQUE),2009 27 PIECE PASSAGE GED : NON
0549/ST,SITUATION DES FACTURES TRANSPORT 2009,"FACTURATION, TRANSPORT, PRODUIT PETROLIER",(ETAT ),2009 06 PIECES PASSAGE GED : NON
0550/ST,BORDEREAUX D'ENVOI DE BORDEREAUX SONABEL 2006,"BORDEREAU, SONABEL, PRODUIT PETROLIER",(BORDEREAU D'ENVOI),2006 21 PIECES PASSAGE GED : NON
0551/ST,ETATS D'EMISSION DES BORDEREAUX DE LIVRAISON SONABEL 2007,"LIVRAISON, SONABEL, PRODUIT PETROLIER",(ETAT),2007 99 PIECES PASSAGE GED : NON
0552/ST,BONS D'ENLEVEMENT DROITURE 2008,"ENLEVEMENT, PRODUIT PETROLIER, DEPOT DE BINGO",(BON D'ENLEVEMENT),2008 124 PIECES PASSAGE GED : OUI BASE GED : DOCUCOM
0553/ST,BONS D'ENLEVEMENT DROITURE ANNULES 2009,"ENLEVEMENT, PRODUIT PETROLIER, DEPOT DE BINGO",(BON D'ENLEVEMENT),2009 94 PIECES PASSAGE GED : OUI BASE GED : DOCUCOM
0556/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BINGO 2005,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BINGO",(FACTURE),2005 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0557/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BINGO 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BINGO",(FACTURE),2006 6 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0558/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BOBO 2005,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BOBO",(FACTURE),2005 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0559/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BOBO 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BOBO",(FACTURE),2006 7 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0560/SV,FACTURES DE VENTE DE PRODUIT PETROLIER CPCI 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, CPCI",(FACTURE),2006 4 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0561/SV,FACTURES DE VENTE DE PRODUIT PETROLIER OTAM 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, OTAM",(FACTURE),2006 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0562/SV,FACTURES DE VENTE DE PRODUIT PETROLIER COULIDIATI M IDRISSA 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, COULIDIATI M IDRISSA",(FACTURE),2006 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0563/SV,FACTURES DE VENTE DE PRODUIT PETROLIER PETRO-GULMU 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRO-GULMU",(FACTURE),2006 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0564/SV,FACTURES DE VENTE DE PRODUIT PETROLIER BURKINA & SHELL 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, BURKINA & SHELL",(FACTURE),2006 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0565/SV,FACTURES DE VENTE DE PRODUIT PETROLIER TOTAL BURKINA 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, TOTAL BURKINA",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0566/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BOBO 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BOBO",(FACTURE),2007 2 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0567/SV,FACTURES DE VENTE DE PRODUIT PETROLIER CPCI 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, CPCI",(FACTURE),2007 24 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0568/SV,FACTURES DE VENTE DE PRODUIT PETROLIER BURKINA & SHELL 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, BURKINA & SHELL",(FACTURE),2007 4 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0569/SV,FACTURES DE VENTE DE PRODUIT PETROLIER PETROFA 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, PETROFA",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0570/SV,FACTURES DE VENTE DE PRODUIT PETROLIER TOTAL MALI 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, TOTAL MALI",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0571/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SONABEL 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, SONABEL",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0572/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SOCODIP 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, SOCODIP",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0573/SV,FACTURES DE VENTE DE PRODUIT PETROLIER PETROLUB 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, PETROLUB",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0574/SV,FACTURES DE VENTE DE PRODUIT PETROLIER TAMOIL 2007,"FACTURATION, VENTE, PRODUIT PETROLIER, TAMOIL",(FACTURE),2007 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0575/SV,FACTURES DE VENTE DE PRODUIT PETROLIER CPCI 2008,"FACTURATION, VENTE, PRODUIT PETROLIER, CPCI",(FACTURE),2008 27 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0576/SV,FACTURES DE VENTE DE PRODUIT PETROLIER ELIKAN 2008,"FACTURATION, VENTE, PRODUIT PETROLIER, ELIKAN",(FACTURE),2008 2 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0577/SV,FACTURES DE VENTE DE PRODUIT PETROLIER EMGA 2008,"FACTURATION, VENTE, PRODUIT PETROLIER, EMGA",(FACTURE),2008 2 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0578/SV,FACTURES DE VENTE DE PRODUIT PETROLIER ACCESS OIL 2008,"FACTURATION, VENTE, PRODUIT PETROLIER, ACCESS OIL",(FACTURE),2008 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0579/SV,NOTES DE CREDIT DE VENTE DE PRODUIT PETROLIER SOTRANS 2006,"FACTURATION, VENTE, PRODUIT PETROLIER, SOTRANS",(NOTE DE CREDIT),2006 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0580/SV,FACTURES DE VENTE DE PRODUIT PETROLIER ACCESS OIL 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, ACCESS OIL",(FACTURE),2009 193 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0581/SV,FACTURES DE VENTE DE PRODUIT PETROLIER PETRO-GULMU 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRO-GULMU",(FACTURE),2009 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0582/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SGE 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, SGE",(FACTURE),2009 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0583/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SODIS OIL 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, SODIS OIL",(FACTURE),2009 54 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0584/SV,FACTURES DE VENTE DE PRODUIT PETROLIER ELIKAN 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, ELIKAN",(FACTURE),2009 187 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0585/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BINGO 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BINGO",(FACTURE),2009 40 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0586/SV,FACTURES DE VENTE DE PRODUIT PETROLIER DEPOT DE BOBO 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, DEPOT DE BOBO",(FACTURE),2009 16 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0587/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SAMPANA 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, SAMPANA",(FACTURE),2009 3 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0588/SV,FACTURES DE VENTE DE PRODUIT PETROLIER AFRIQUE OIL MALI 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, AFRIQUE OIL MALI",(FACTURE),2009 6 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0589/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SOYATT MALI 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, SOYATT MALI",(FACTURE),2009 6 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0590/SV,FACTURES DE VENTE DE PRODUIT PETROLIER TOTAL MALI 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, TOTAL MALI",(FACTURE),2009 4 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0591/SV,FACTURES DE VENTE DE PRODUIT PETROLIER LAH & FILS 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, LAH & FILS",(FACTURE),2009 5 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0592/SV,FACTURES DE VENTE DE PRODUIT PETROLIER SOCIETE LAMINE YARA 2009,"FACTURATION, VENTE, PRODUIT PETROLIER, SOCIETE LAMINE YARA",(FACTURE),2009 1 PIECE PASSAGE GED : NON SORT FINAL : CONSERVATION
0593/SV,NOTES DE DEBIT DE VENTE DE PRODUIT PETROLIER OCTOBRE 2009,"FACTURATION, VENTE, PRODUIT PETROLIER",(NOTE DE DEBIT),2009 629 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0594/SV,ETATS DES FACTURES 2008,"FACTURATION, VENTE, PRODUIT PETROLIER",(ETAT),2009 54 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0595/SV,ETUDE SUR L'ACTIVITE GAZ AU BURKINA FASO 2000-2004,"ETUDE, ACTIVITE, GAZ BUTANE","(RAPPORT, LETTRE DEPART, LETTRE ARRIVEE, COURRIER INTERNE, NOTE DE SERVICE, ETAT, ARRETE, FAX, COMPTE RENDU)",2000-2004 70 PIECES PASSAGE GED : NON SORT FINAL : CONSERVATION
0596/SV,STRUCTURE DES PRIX DE PRODUIT PETROLIER 2007,"STRUCTURE DE PRIX, VENTE, PRODUIT PETROLIER",(ARRETE),2007 70 PIECES PASSAGE GED : OUI SORT FINAL : DESTRUCTION
0597/SV,STRUCTURE DES PRIX DE PRODUIT PETROLIER 2008,"STRUCTURE DE PRIX, VENTE, PRODUIT PETROLIER",(ARRETE),2008 16 PIECES PASSAGE GED : OUI SORT FINAL : DESTRUCTION
0598/SV,STRUCTURE DES PRIX DE PRODUIT PETROLIER 2009,"STRUCTURE DE PRIX, VENTE, PRODUIT PETROLIER",(ARRETE),2009 5 PIECES PASSAGE GED : OUI SORT FINAL : DESTRUCTION
